Kode Transaksi,Tanggal,Jenis,Kode Barang,Jumlah
TRX001,2025-01-01,pembelian,BRG001,20
TRX002,2025-01-01,pembelian,BRG002,15
TRX005,2025-01-03,pembelian,BRG004,10
TRX008,2025-01-04,pembelian,BRG006,8
TRX011,2025-01-06,pembelian,BRG008,5
TRX014,2025-01-07,pembelian,BRG010,12
TRX017,2025-01-09,pembelian,BRG012,7
TRX020,2025-01-10,pembelian,BRG014,6
TRX022,2025-01-11,pembelian,BRG015,5
TRX024,2025-01-12,pembelian,BRG016,8
TRX027,2025-01-14,pembelian,BRG018,10
TRX030,2025-01-15,pembelian,BRG020,4
TRX032,2025-01-16,pembelian,BRG021,3
TRX034,2025-01-17,pembelian,BRG022,6
TRX036,2025-01-18,pembelian,BRG023,4
TRX038,2025-01-19,pembelian,BRG024,6
TRX040,2025-01-20,pembelian,BRG025,8
TRX042,2025-01-21,pembelian,BRG026,12
TRX044,2025-01-22,pembelian,BRG027,3
TRX046,2025-01-23,pembelian,BRG028,10
TRX048,2025-01-24,pembelian,BRG029,15
TRX050,2025-01-25,pembelian,BRG030,10
TRX001,2026-02-01,pembelian,BRG001,10
TRX061,2026-02-01,pembelian,BRG001,10
TRX064,2026-02-03,pembelian,BRG008,20
TRX065,2026-01-03,pembelian,BRG008,20
TRX066,2026-02-05,pembelian,BRG003,10
